Full_Name,Date of Birth,Award Level,Expiration Date,Language,Level of Qualification,Other Information,Qualification_Name,School_Name,Specialization,Student Email,Student ID,Student Password,Study_Graduation Date,Study_Start,Study_End
Meggie McDonald,"Jan 1, 1999 12:00 AM",,"Dec 6, 2030 12:00 AM",English,Bachelors,None,Master of Science,University of Beispiel,,,,,"May 5, 2021 12:00 AM","Oct 1, 2020 12:00 AM","Jul 31, 2021 12:00 AM"
Samantha Sullis,"Feb 20, 1996 12:00 AM",,"Dec 6, 2030 12:00 AM",English,Bachelors,None,Master of Engineering,College of Example,,,,,"May 5, 2021 12:00 AM","Oct 1, 2020 12:00 AM","Jul 31, 2020 12:00 AM"
Tomo Mazura,"Feb 20, 1996 12:00 AM",,"Dec 6, 2030 12:00 AM",English,Bachelors,None,Master of Business Administration,University of Beispiel,,,,,"Aug 15, 2019 12:00 AM","Oct 1, 2020 12:00 AM","Aug 1, 2015 12:00 AM"
Maria Keks,"Jan 1, 1993 12:00 AM",,"Dec 6, 2030 12:00 AM",English,Bachelors,None,Bachelor of Science,University of Beispiel,,,,,"Jul 15, 2020 12:00 AM","Sep 1, 2019 12:00 AM","Jul 1, 2020 12:00 AM"
Achmed Tizi,"Jan 23, 1994 12:00 AM",,"Dec 6, 2030 12:00 AM",English,Bachelors,None,Bachelor of Engineering,University of Beispiel,,,,,"Aug 15, 2019 12:00 AM","Aug 15, 2016 12:00 AM","Aug 10, 2019 12:00 AM"
Nadja Bespalova,"Feb 14, 1995 12:00 AM",,"Dec 6, 2030 12:00 AM",English,Masters,None,Master of Engineering,University of Beispiel,,,,,"Aug 1, 2015 12:00 AM","Sep 13, 2012 12:00 AM","Jul 1, 2015 12:00 AM"
Klaus Lustig,"Mar 29, 1997 12:00 AM",,"Dec 6, 2030 12:00 AM",English,Masters,None,Master of Science,University of Beispiel,,,,,"Aug 15, 2019 12:00 AM","Aug 15, 2016 12:00 AM","Aug 10, 2019 12:00 AM"
Paul Easy,"Apr 20, 1998 12:00 AM",,"Dec 6, 2030 12:00 AM",English,Masters,None,Master of Engineering,University of Beispiel,,,,,"Jul 15, 2020 12:00 AM","Sep 1, 2019 12:00 AM","Jul 1, 2020 12:00 AM"
Isabelle Portre,"Jun 24, 2001 12:00 AM",,"Dec 6, 2030 12:00 AM",English,Masters,None,Master of Engineering,University of Beispiel,,,,,"Jul 26, 2021 12:00 AM","Sep 14, 2020 12:00 AM","Jul 21, 2021 12:00 AM"
Lucy Stahl,"Jul 26, 1995 12:00 AM",,"Dec 6, 2030 12:00 AM",English,Masters,None,Masters of Business Administration,Learning Institute,,demostudent@gmail.com,,,"May 12, 2004 12:00 AM","Jul 15, 2011 12:00 AM","Mar 2, 2013 12:00 AM"
